sno,word
1,"""actual"" "
2,"""analysi"" "
3,"""arbitrari""  "
4,"""binari""     "
5,"""can""        "
6,"""class""      "
7,"""comput""     "
8,"""correct""    "
9,"""data""       "
10,"""denot""      "
11,"""differ""     "
12,"""dynam""      "
13,"""element""    "
14,"""event""      "
15,"""fact""       "
16,"""function""   "
17,"""given""      "
18,"""http""       "
19,"""indic""      "
20,"""interest""   "
21,"""know""       "
22,"""length""     "
23,"""linear""     "
24,"""mani""       "
25,"""mean""       "
26,"""model""      "
27,"""need""       "
28,"""now""        "
29,"""order""      "
30,"""path""       "
31,"""polynomi""   "
32,"""probabl""    "
33,"""rank""       "
34,"""repres""     "
35,"""root""       "
36,"""sequenc""    "
37,"""sinc""       "
38,"""solut""      "
39,"""step""       "
40,"""suppos""     "
41,"""term""       "
42,"""total""      "
43,"""use""        "
44,"""vertic""     "
45,"""will""       "
46,"""algorithm"""
47,"""analyz""     "
48,"""array""      "
49,"""bit""        "
50,"""capac""      "
51,"""cluster""    "
52,"""connect""    "
53,"""cost""       "
54,"""dataset""    "
55,"""depth""      "
56,"""direct""     "
57,"""edg""        "
58,"""els""        "
59,"""everi""      "
60,"""feasibl""    "
61,"""game""       "
62,"""graph""      "
63,"""impli""      "
64,"""induct""     "
65,"""item""       "
66,"""larg""       "
67,"""level""      "
68,"""list""       "
69,"""map""        "
70,"""method""     "
71,"""move""       "
72,"""network""    "
73,"""nphard""     "
74,"""origin""     "
75,"""pattern""    "
76,"""popul""      "
77,"""problem""    "
78,"""rattl""      "
79,"""requir""     "
80,"""?rst""       "
81,"""set""        "
82,"""singl""      "
83,"""solv""       "
84,"""strong""     "
85,"""system""     "
86,"""theorem""    "
87,"""transform""  "
88,"""valu""       "
89,"""want""       "
90,"""word""       "
91," ""also"" "
92,"""anoth""   "
93,"""assign""     "
94,"""bolt""       "
95,"""case""       "
96,"""color""      "
97,"""consid""     "
98,"""cover""      "
99,"""decis""      "
100,"""describ""    "
101,"""distanc""    "
102,"""edit""       "
103,"""end""        "
104,"""exact""      "
105,"""follow""     "
106,"""general""    "
107,"""greedi""     "
108,"""includ""     "
109,"""input""      "
110,"""jeff""       "
111,"""largest""    "
112,"""licens""     "
113,"""log""        "
114,"""match""      "
115,"""might""      "
116,"""multipl""    "
117,"""new""        "
118,"""number""     "
119,"""?ow""        "
120,"""perform""    "
121,"""posit""      "
122,"""program""    "
123,"""recurr""     "
124,"""result""     "
125,"""run""        "
126,"""shortest""   "
127,"""size""       "
128,"""sort""       "
129,"""structur""   "
130,"""tabl""       "
131,"""three""      "
132,"""tree""       "
133,"""variabl""    "
134,"""way""        "
135,"""work""       "
136,"""alway"" "
137,"""answer""   "
138,"""assum""      "
139,"""bound""      "
140,"""chang""      "
141,"""common""     "
142,"""constant""   "
143,"""cut""        "
144,"""de?n""       "
145,"""determin""   "
146,"""distribut""  "
147,"""ef?cient""   "
148,"""equal""      "
149,"""exampl""     "
150,"""form""       "
151,"""get""        "
152,"""hash""       "
153,"""increas""    "
154,"""insert""     "
155,"""just""       "
156,"""least""      "
157,"""like""       "
158,"""look""       "
159,"""maximum""    "
160,"""mine""       "
161,"""must""       "
162,"""node""       "
163,"""oper""       "
164,"""pair""       "
165,"""pmml""       "
166,"""possibl""    "
167,"""proof""      "
168,"""recurs""     "
169,"""return""     "
170,"""search""     "
171,"""show""       "
172,"""small""      "
173,"""span""       "
174,"""subset""     "
175,"""take""       "
176,"""thus""       "
177,"""true""       "
178,"""vector""     "
179,"""weight""     "
180,"""worst"""
181,"""amort"" "
182,"""approxim""  "
183,"""base""      "
184,"""call""      "
185,"""choos""     "
186,"""compon""    "
187,"""contain""   "
188,"""cycl""      "
189,"""de?nit""    "
190,"""develop""   "
191,"""dont""      "
192,"""either""    "
193,"""even""      "
194,"""expect""    "
195,"""formula""   "
196,"""give""      "
197,"""hint""      "
198,"""independ""  "
199,"""integ""     "
200,"""key""       "
201,"""lectur""    "
202,"""line""      "
203,"""make""      "
204,"""may""       "
205,"""minimum""   "
206,"""?nd""       "
207,"""note""      "
208,"""optim""     "
209,"""particular"""
210,"""point""     "
211,"""prioriti""  "
212,"""random""    "
213,"""reduct""    "
214,"""right""     "
215,"""see""       "
216,"""simpl""     "
217,"""smallest""  "
218,"""start""     "
219,"""sum""       "
220,"""target""    "
221,"""time""      "
222,"""two""       "
223,"""vertex""    "
224,"""whether""   "
225,"""function"""
